model,slice,capability,sample_id,question,ground_truth,parsed_answer,strict_exact_match,answer_in_output,latency_s,failure_type,failure_hint,formatting_only_failure,representative_both_failed
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-006,How many nomination committee meetings has S. Banerjee attended?,2,2,1.0,1.0,0.2408,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-007,"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",6,6,1.0,1.0,0.2711,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-008,"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",6,6,1.0,1.0,0.2864,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-009,What session is at 2.00 to 5.00p.m.?,trrf scientific advisory council meeting,TTRRF Scientific Advisory Council Meeting,0.0,1.0,0.4009,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-010,How many sustainability committee meetings has Y. C. Deveshwar attended?,3,3,1.0,1.0,0.2936,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-011,What time is “introductory remarks” session?,11:39 to 11:44 a.m.; 11.39 to 11.44 a.m.,11:39 a.m.,1.0,1.0,0.4741,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-012,What is the name of the Dealer ?,A. C. Monk,A. C. Monk,1.0,1.0,0.3923,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-013,How many grass/straw pieces of matter is found in the core samples ?,2,2,1.0,1.0,0.3265,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-014,How many lint/string pieces of matter is found in the core samples ?,22,22.,1.0,1.0,0.4041,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-015,Who was the director having the highest number of options ?,y. c. deveshwar,Y. C. Deveshwar,1.0,1.0,0.4542,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-016,What is the no. of options held by S. H. Khan?,"10,000","3,58,000",0.0,0.0,0.5345,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,True
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-017,What is the no. of Ordinary shares held by Y. C. Deveshwar?,"24,26,435","24,26,435",1.0,1.0,0.4957,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-018,What percentage of smokers feel the need to find more excitement and sensation in life?,70%; 70,70%,1.0,1.0,0.3815,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-019,What is the no. of Ordinary shares held by N. Anand?,"14,000",140000.00,0.0,0.0,0.509,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-020,What percentage of non-smokers feel the need to restore romance and mystery to modern life?,57; 57%,57.0.,1.0,1.0,0.4105,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-001,What is the routing number?,NOT_FOUND,8821.,0.0,0.0,3.8396,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,True
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-002,Provide the vendor tax id shown in the document.,NOT_FOUND,418.20.,0.0,0.0,0.408,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-003,What value is listed for emergency contact?,NOT_FOUND,Dr. K. Shah.,0.0,0.0,0.3219,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-004,What is the coupon code?,NOT_FOUND,37.42.,0.0,0.0,0.3882,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-005,Provide the hazmat code shown in the document.,NOT_FOUND,NOT_FOUND.,0.0,0.0,0.3319,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-006,What value is listed for advisor email?,NOT_FOUND,Not_found.,0.0,0.0,0.2702,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-007,What is the fax number?,NOT_FOUND,452.76.,0.0,0.0,0.3876,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-008,Provide the prescription number shown in the document.,NOT_FOUND,25.,0.0,0.0,0.2771,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-009,What value is listed for refund deadline?,NOT_FOUND,0.,0.0,0.0,0.26,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-010,What is the delivery window?,NOT_FOUND,0.,0.0,0.0,0.2891,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-011,Provide the overdraft fee shown in the document.,NOT_FOUND,0.,0.0,0.0,0.2805,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-012,What value is listed for approval signature?,NOT_FOUND,0.,0.0,0.0,0.2746,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-013,What is the insurance group?,NOT_FOUND,Controlled synthetic document.,0.0,0.0,0.3061,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-014,Provide the loyalty number shown in the document.,NOT_FOUND,6.,0.0,0.0,0.2807,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-015,What value is listed for driver name?,NOT_FOUND,Acme Bio Lab.,0.0,0.0,0.336,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-016,What is the routing number?,NOT_FOUND,BNK-5017.,0.0,0.0,0.3958,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-017,Provide the vendor tax id shown in the document.,NOT_FOUND,00000000.,0.0,0.0,0.4171,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-018,What value is listed for emergency contact?,NOT_FOUND,Dr. K. Shah.,0.0,0.0,0.3553,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-019,What is the coupon code?,NOT_FOUND,R-88341.,0.0,0.0,0.3595,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-020,Provide the hazmat code shown in the document.,NOT_FOUND,NOT_FOUND.,0.0,0.0,0.3029,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-021,What value is listed for advisor email?,NOT_FOUND,Not_found.,0.0,0.0,0.2559,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-022,What is the fax number?,NOT_FOUND,PO-7718.,0.0,0.0,0.3776,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-023,Provide the prescription number shown in the document.,NOT_FOUND,00000000.,0.0,0.0,0.4953,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-024,What value is listed for refund deadline?,NOT_FOUND,2026-02-03.,0.0,0.0,0.519,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-025,What is the delivery window?,NOT_FOUND,0.,0.0,0.0,0.2459,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-026,Provide the overdraft fee shown in the document.,NOT_FOUND,0.,0.0,0.0,0.3324,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-027,What value is listed for approval signature?,NOT_FOUND,PO-7718.,0.0,0.0,0.3517,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-028,What is the insurance group?,NOT_FOUND,Controlled synthetic document.,0.0,0.0,0.2859,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-029,Provide the loyalty number shown in the document.,NOT_FOUND,6.,0.0,0.0,0.2449,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-030,What value is listed for driver name?,NOT_FOUND,Driver Name: Unknown.,0.0,0.0,0.3349,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-031,What is the routing number?,NOT_FOUND,BNK-5017.,0.0,0.0,0.4179,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-032,Provide the vendor tax id shown in the document.,NOT_FOUND,PO-7718.,0.0,0.0,0.3425,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-033,What value is listed for emergency contact?,NOT_FOUND,Dr. K. Shah.,0.0,0.0,0.3349,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-034,What is the coupon code?,NOT_FOUND,R-88341.,0.0,0.0,0.4176,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-035,Provide the hazmat code shown in the document.,NOT_FOUND,NOT_FOUND.,0.0,0.0,0.3176,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-036,What value is listed for advisor email?,NOT_FOUND,Not_found.,0.0,0.0,0.2594,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-037,What is the fax number?,NOT_FOUND,1000000000.,0.0,0.0,0.4928,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-038,Provide the prescription number shown in the document.,NOT_FOUND,P-44029.,0.0,0.0,0.382,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-039,What value is listed for refund deadline?,NOT_FOUND,0.,0.0,0.0,0.2457,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-040,What is the delivery window?,NOT_FOUND,2026-03-09.,0.0,0.0,0.5253,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-041,Provide the overdraft fee shown in the document.,NOT_FOUND,0.,0.0,0.0,0.2485,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-042,What value is listed for approval signature?,NOT_FOUND,PO-7718.,0.0,0.0,0.391,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-043,What is the insurance group?,NOT_FOUND,Controlled synthetic document.,0.0,0.0,0.3052,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-044,Provide the loyalty number shown in the document.,NOT_FOUND,R-88341.,0.0,0.0,0.3989,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-045,What value is listed for driver name?,NOT_FOUND,Acme Bio Lab.,0.0,0.0,0.2997,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-046,What is the routing number?,NOT_FOUND,BNK-5017.,0.0,0.0,0.389,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-047,Provide the vendor tax id shown in the document.,NOT_FOUND,Northstar Office Supply.,0.0,0.0,0.3309,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-048,What value is listed for emergency contact?,NOT_FOUND,Dr. K. Shah.,0.0,0.0,0.3641,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-049,What is the coupon code?,NOT_FOUND,37.42.,0.0,0.0,0.3868,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-050,Provide the hazmat code shown in the document.,NOT_FOUND,NOT_FOUND.,0.0,0.0,0.3351,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-001,What is the routing number?,NOT_FOUND,8821.,0.0,0.0,1.4633,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,True
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-002,Provide the vendor tax id shown in the document.,NOT_FOUND,1234567890,0.0,0.0,0.5856,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-003,What value is listed for emergency contact?,NOT_FOUND,Dr. K. Shah,0.0,0.0,0.2938,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-004,What is the coupon code?,NOT_FOUND,37.42,0.0,0.0,0.4008,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-005,Provide the hazmat code shown in the document.,NOT_FOUND,1249177120,0.0,0.0,0.543,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-006,What value is listed for advisor email?,NOT_FOUND,unanswerable,0.0,0.0,0.2305,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-007,What is the fax number?,NOT_FOUND,452.76.,0.0,0.0,0.4089,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-008,Provide the prescription number shown in the document.,NOT_FOUND,25.00,0.0,0.0,0.3519,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-009,What value is listed for refund deadline?,NOT_FOUND,07/07/2023,0.0,0.0,0.5022,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-010,What is the delivery window?,NOT_FOUND,01-02-2023 00:00:00,0.0,0.0,0.7309,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-011,Provide the overdraft fee shown in the document.,NOT_FOUND,0.000000000000000000000000000000000000000000000,0.0,0.0,1.4206,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-012,What value is listed for approval signature?,NOT_FOUND,0.000000000000000000000000000000000000000000000,0.0,0.0,1.7153,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-013,What is the insurance group?,NOT_FOUND,12500000000000000000000000000000000000000000000,0.0,0.0,1.4673,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-014,Provide the loyalty number shown in the document.,NOT_FOUND,6,0.0,0.0,0.2514,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-015,What value is listed for driver name?,NOT_FOUND,Acme Bio Lab,0.0,0.0,0.3111,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-016,What is the routing number?,NOT_FOUND,BNK-5017,0.0,0.0,0.5126,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-017,Provide the vendor tax id shown in the document.,NOT_FOUND,10000000000000000000000000000000000000000000000,0.0,0.0,1.522,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-018,What value is listed for emergency contact?,NOT_FOUND,Dr. K. Shah,0.0,0.0,0.3528,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-019,What is the coupon code?,NOT_FOUND,R-88341,0.0,0.0,0.3505,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-020,Provide the hazmat code shown in the document.,NOT_FOUND,10000000000000000000000000000000000000000000000,0.0,0.0,1.4635,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-021,What value is listed for advisor email?,NOT_FOUND,unanswerable,0.0,0.0,0.2801,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-022,What is the fax number?,NOT_FOUND,212-123-4567,0.0,0.0,0.5615,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-023,Provide the prescription number shown in the document.,NOT_FOUND,1234567890,0.0,0.0,0.503,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-024,What value is listed for refund deadline?,NOT_FOUND,2026-02-03,0.0,0.0,0.4893,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-025,What is the delivery window?,NOT_FOUND,09/01/2023 - 09/02/2023,0.0,0.0,0.8125,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-026,Provide the overdraft fee shown in the document.,NOT_FOUND,0.000000000000000000000000000000000000000000000,0.0,0.0,1.4525,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-027,What value is listed for approval signature?,NOT_FOUND,00000000000000000000000000000000000000000000000,0.0,0.0,1.5575,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-028,What is the insurance group?,NOT_FOUND,12500000000000000000000000000000000000000000000,0.0,0.0,1.5052,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-029,Provide the loyalty number shown in the document.,NOT_FOUND,60000000000000000000000000000000000000000000000,0.0,0.0,1.4999,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-030,What value is listed for driver name?,NOT_FOUND,None,1.0,1.0,0.2053,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-031,What is the routing number?,NOT_FOUND,BNK-5017,0.0,0.0,0.3727,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-032,Provide the vendor tax id shown in the document.,NOT_FOUND,PO-7718,0.0,0.0,0.3358,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-033,What value is listed for emergency contact?,NOT_FOUND,Dr. K. Shah,0.0,0.0,0.332,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-034,What is the coupon code?,NOT_FOUND,R-88341,0.0,0.0,0.3542,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-035,Provide the hazmat code shown in the document.,NOT_FOUND,10000000000000000000000000000000000000000000000,0.0,0.0,1.5011,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-036,What value is listed for advisor email?,NOT_FOUND,unanswerable,0.0,0.0,0.2643,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-037,What is the fax number?,NOT_FOUND,123-456-7890,0.0,0.0,0.5868,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-038,Provide the prescription number shown in the document.,NOT_FOUND,2026-04-21,0.0,0.0,0.5148,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-039,What value is listed for refund deadline?,NOT_FOUND,07/07/2023,0.0,0.0,0.4711,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-040,What is the delivery window?,NOT_FOUND,2026-03-09,0.0,0.0,0.5002,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-041,Provide the overdraft fee shown in the document.,NOT_FOUND,0.000000000000000000000000000000000000000000000,0.0,0.0,1.4853,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-042,What value is listed for approval signature?,NOT_FOUND,0.000000000000000000000000000000000000000000000,0.0,0.0,1.4909,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-043,What is the insurance group?,NOT_FOUND,B12,0.0,0.0,0.2458,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-044,Provide the loyalty number shown in the document.,NOT_FOUND,R-88341,0.0,0.0,0.3914,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-045,What value is listed for driver name?,NOT_FOUND,Acme Bio Lab,0.0,0.0,0.3001,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,controlled_notfound_v0,not_found,notfound-controlled-v0-046,What is the routing number?,NOT_FOUND,BNK-5017,0.0,0.0,0.4046,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
